,Car_Age,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Present_price
0,6.0,3.35,5.59,27000.0,0,0,0,0,5.59
1,7.0,4.75,9.54,43000.0,1,0,0,0,9.54
2,3.0,7.25,9.85,6900.0,0,0,0,0,9.85
3,9.0,2.85,4.15,5200.0,0,0,0,0,4.15
4,6.0,4.6,6.87,42450.0,1,0,0,0,6.87
5,2.0,9.25,9.83,2071.0,1,0,0,0,9.83
6,5.0,6.75,8.12,18796.0,0,0,0,0,8.12
7,5.0,6.5,8.61,33429.0,1,0,0,0,8.61
8,4.0,8.75,8.89,20273.0,1,0,0,0,8.89
9,5.0,7.45,8.92,42367.0,1,0,0,0,8.92
10,3.0,2.85,3.6,2135.0,0,0,0,0,3.6
11,5.0,6.85,10.38,51000.0,1,0,0,0,10.38
12,5.0,7.5,9.94,15000.0,0,0,1,0,9.94
13,5.0,6.1,7.71,26000.0,0,0,0,0,7.71
14,11.0,2.25,7.21,77427.0,0,0,0,0,7.21
15,4.0,7.75,10.79,43000.0,1,0,0,0,10.79
16,5.0,7.25,10.79,41678.0,1,0,0,0,10.79
18,5.0,3.25,5.09,35500.0,2,0,0,0,5.09
19,10.0,2.65,7.98,41442.0,0,0,0,0,7.98
20,4.0,2.85,3.95,25000.0,0,0,0,0,3.95
21,3.0,4.9,5.71,2400.0,0,0,0,0,5.71
22,9.0,4.4,8.01,50000.0,0,0,1,0,8.01
23,6.0,2.5,3.46,45280.0,0,0,0,0,3.46
24,7.0,2.9,4.41,56879.0,0,0,0,0,4.41
25,9.0,3.0,4.99,20000.0,0,0,0,0,4.99
26,7.0,4.15,5.87,55138.0,0,0,0,0,5.87
27,3.0,6.0,6.49,16200.0,0,1,0,0,6.49
28,10.0,1.95,3.95,44542.0,0,0,0,0,3.95
29,5.0,7.45,10.38,45000.0,1,0,0,0,10.38
30,8.0,3.1,5.98,51439.0,1,0,0,0,5.98
31,9.0,2.35,4.89,54200.0,0,0,0,0,4.89
32,6.0,4.95,7.49,39000.0,1,0,0,0,7.49
33,6.0,6.0,9.95,45000.0,1,0,0,0,9.95
34,6.0,5.5,8.06,45000.0,1,0,0,0,8.06
35,9.0,2.95,7.74,49998.0,2,0,0,0,7.74
36,5.0,4.65,7.2,48767.0,0,0,0,0,7.2
37,14.0,0.35,2.28,99708.75,0,1,0,0,2.28
38,4.0,3.0,3.76,10079.0,0,0,0,0,3.76
39,14.0,2.25,7.98,62000.0,0,0,0,0,7.98
40,4.0,5.85,7.87,24524.0,0,0,1,0,7.87
41,6.0,2.55,3.98,46706.0,0,0,0,0,3.98
42,12.0,1.95,7.15,58000.0,0,0,0,0,7.15
43,6.0,5.5,8.06,45780.0,1,0,0,0,8.06
44,8.0,1.25,2.69,50000.0,0,0,0,0,2.69
45,6.0,7.5,12.04,15000.0,0,0,1,0,12.04
46,7.0,2.65,4.89,64532.0,0,0,0,0,4.89
47,14.0,1.05,4.15,65000.0,0,0,0,0,4.15
48,5.0,5.8,7.71,25870.0,0,0,0,0,7.71
49,3.0,7.75,9.29,37000.0,0,0,1,0,9.29
50,8.0,13.725000000000001,22.8,99708.75,1,0,1,0,22.8
51,5.0,13.725000000000001,22.8,40000.0,1,0,1,0,22.8
52,3.0,13.725000000000001,19.77,15000.0,1,0,1,0,19.77
53,7.0,13.725000000000001,22.8,99708.75,1,1,1,0,22.8
54,14.0,2.75,10.21,90000.0,0,1,0,0,10.21
55,11.0,3.6,15.04,70000.0,0,0,1,0,15.04
56,5.0,4.5,7.27,40534.0,0,0,0,0,7.27
57,10.0,4.75,18.54,50000.0,0,0,0,0,18.54
58,6.0,4.1,6.8,39485.0,0,0,0,1,6.8
59,6.0,13.725000000000001,22.8,41000.0,1,0,1,0,22.8
60,7.0,6.95,18.61,40001.0,0,0,0,0,18.61
61,5.0,4.5,7.7,40588.0,0,0,0,0,7.7
62,6.0,13.725000000000001,22.8,78000.0,1,0,1,0,22.8
63,5.0,13.725000000000001,22.8,47000.0,1,0,1,0,22.8
64,3.0,13.725000000000001,22.8,6000.0,1,0,1,0,22.8
65,6.0,4.75,6.95,45000.0,1,0,0,0,6.95
66,3.0,13.725000000000001,22.8,11000.0,0,0,1,0,22.8
67,10.0,9.25,20.45,59000.0,1,0,0,0,20.45
68,9.0,4.35,13.74,88000.0,0,0,0,0,13.74
69,4.0,13.725000000000001,20.91,12000.0,0,0,0,0,20.91
70,6.0,3.95,6.76,71000.0,1,0,0,0,6.76
71,9.0,4.5,12.48,45000.0,1,0,0,0,12.48
72,7.0,7.45,18.61,56001.0,0,0,0,0,18.61
73,9.0,2.65,5.71,43000.0,0,0,0,0,5.71
74,6.0,4.9,8.93,83000.0,1,0,0,0,8.93
75,5.0,3.95,6.8,36000.0,0,0,0,0,6.8
76,7.0,5.5,14.68,72000.0,0,0,0,0,14.68
77,14.0,1.5,12.35,99708.75,0,0,1,0,12.35
78,10.0,5.25,22.8,80000.0,0,0,1,0,22.8
79,8.0,13.725000000000001,22.8,89000.0,1,0,1,0,22.8
80,4.0,13.725000000000001,14.89,23000.0,1,0,0,0,14.89
81,5.0,4.75,7.85,40000.0,1,0,0,0,7.85
82,3.0,13.725000000000001,22.8,15000.0,1,0,1,0,22.8
83,5.0,12.5,13.46,38000.0,1,0,0,0,13.46
84,14.0,3.49,13.46,99708.75,1,0,0,0,13.46
85,14.0,2.5,22.8,99708.75,0,1,1,3,22.8
86,10.0,13.725000000000001,22.8,78000.0,1,0,0,0,22.8
87,8.0,5.9,13.74,56000.0,0,0,0,0,13.74
88,7.0,3.45,6.05,47000.0,0,0,0,0,6.05
89,6.0,4.75,6.76,40000.0,0,0,0,0,6.76
90,11.0,3.8,18.61,62000.0,0,0,0,0,18.61
91,6.0,11.25,16.09,58242.0,1,0,0,0,16.09
92,14.0,3.51,13.7,75000.0,0,0,0,0,13.7
94,12.0,4.0,22.78,89000.0,0,0,1,0,22.78
95,8.0,5.85,18.61,72000.0,0,0,0,0,18.61
96,4.0,13.725000000000001,22.8,29000.0,1,0,1,0,22.8
97,3.0,13.725000000000001,18.64,8700.0,0,0,0,0,18.64
98,7.0,7.05,18.61,45000.0,0,0,0,0,18.61
99,10.0,9.65,20.45,50024.0,1,0,0,0,20.45
100,4.0,1.75,1.9,3000.0,0,1,0,0,1.9
101,3.0,1.7,1.82,1400.0,0,1,0,0,1.82
102,3.0,1.65,1.78,4000.0,0,1,0,0,1.78
103,3.0,1.45,1.6,1200.0,0,1,0,0,1.6
104,3.0,1.35,1.47,4100.0,0,1,0,0,1.47
105,5.0,1.35,2.37,21700.0,0,1,0,0,2.37
106,6.0,1.35,3.45,16500.0,0,1,0,1,3.45
107,7.0,1.25,1.5,15000.0,0,1,0,0,1.5
108,4.0,1.2,1.5,18000.0,0,1,0,0,1.5
109,3.0,1.2,1.47,11000.0,0,1,0,0,1.47
110,4.0,1.2,1.78,6000.0,0,1,0,0,1.78
111,4.0,1.15,1.5,8700.0,0,1,0,0,1.5
112,6.0,1.15,2.4,7000.0,0,1,0,0,2.4
113,4.0,1.15,1.4,35000.0,0,1,0,0,1.4
114,5.0,1.15,1.47,17000.0,0,1,0,0,1.47
115,5.0,1.11,1.47,17500.0,0,1,0,0,1.47
116,7.0,1.1,1.47,33000.0,0,1,0,0,1.47
117,5.0,1.1,1.9,14000.0,0,1,0,0,1.9
118,5.0,1.1,1.47,26000.0,0,1,0,0,1.47
119,7.0,1.05,1.9,5400.0,0,1,0,0,1.9
120,4.0,1.05,1.26,5700.0,0,1,0,0,1.26
121,9.0,1.05,1.5,6900.0,0,1,0,0,1.5
122,4.0,1.05,1.17,6000.0,0,1,0,0,1.17
123,7.0,1.0,1.47,46500.0,0,1,0,0,1.47
124,8.0,0.95,1.75,11500.0,0,1,0,0,1.75
125,11.0,0.9,1.75,40000.0,0,1,0,0,1.75
126,3.0,0.9,0.95,1300.0,0,1,0,0,0.95
127,4.0,0.75,0.8,7000.0,0,1,0,0,0.8
128,3.0,0.8,0.87,3000.0,0,1,0,0,0.87
129,3.0,0.78,0.84,5000.0,0,1,0,0,0.84
130,3.0,0.75,0.87,11000.0,0,1,0,0,0.87
131,5.0,0.75,0.82,18000.0,0,1,0,0,0.82
132,3.0,0.75,0.95,3500.0,0,1,0,0,0.95
133,4.0,0.72,0.95,500.0,0,1,0,0,0.95
134,3.0,0.65,0.81,11800.0,0,1,0,0,0.81
135,5.0,0.65,0.74,5000.0,0,1,0,0,0.74
136,6.0,0.65,1.2,23500.0,0,1,0,0,1.2
137,7.0,0.65,0.787,16000.0,0,1,0,0,0.787
138,4.0,0.6,0.87,15000.0,0,1,0,0,0.87
139,5.0,0.6,0.95,16600.0,0,1,0,0,0.95
140,7.0,0.6,1.2,32000.0,0,1,0,0,1.2
141,4.0,0.6,0.8,20000.0,0,1,0,0,0.8
142,5.0,0.6,0.84,29000.0,0,1,0,0,0.84
143,4.0,0.6,0.84,25000.0,0,1,0,0,0.84
144,6.0,0.6,0.99,25000.0,0,1,0,0,0.99
145,8.0,0.6,0.81,19000.0,0,1,0,0,0.81
146,6.0,0.55,0.787,15000.0,0,1,0,0,0.787
147,5.0,0.55,0.84,58000.0,0,1,0,0,0.84
148,10.0,0.52,0.94,45000.0,0,1,0,0,0.94
149,4.0,0.51,0.94,24000.0,0,1,0,0,0.94
150,9.0,0.5,0.826,6000.0,0,1,0,0,0.826
151,4.0,0.5,0.55,31000.0,0,1,0,0,0.55
152,8.0,0.5,0.99,13000.0,0,1,0,0,0.99
153,7.0,0.5,0.99,45000.0,0,1,0,0,0.99
154,6.0,0.5,0.88,8000.0,0,1,0,0,0.88
155,3.0,0.48,0.51,4300.0,0,1,1,0,0.51
156,3.0,0.48,0.52,15000.0,0,1,0,0,0.52
157,5.0,0.48,0.84,23000.0,0,1,0,0,0.84
158,3.0,0.48,0.54,8600.0,0,1,0,0,0.54
159,3.0,0.45,0.51,4000.0,0,1,1,0,0.51
160,9.0,0.45,0.95,24000.0,0,1,0,0,0.95
161,6.0,0.45,0.826,23000.0,0,1,0,0,0.826
162,8.0,0.45,0.99,14500.0,0,1,0,0,0.99
163,10.0,0.45,0.95,27000.0,0,1,0,0,0.95
164,4.0,0.45,0.54,14000.0,0,1,0,0,0.54
165,4.0,0.45,0.54,500.0,0,1,1,0,0.54
166,4.0,0.45,0.55,1000.0,0,1,0,0,0.55
167,6.0,0.42,0.81,42000.0,0,1,0,0,0.81
168,7.0,0.42,0.73,12000.0,0,1,0,0,0.73
169,5.0,0.4,0.54,14000.0,0,1,0,0,0.54
170,8.0,0.4,0.83,5500.0,0,1,0,0,0.83
171,5.0,0.4,0.55,6700.0,0,1,0,0,0.55
172,6.0,0.4,0.64,13700.0,0,1,0,0,0.64
173,3.0,0.4,0.51,1300.0,0,1,1,0,0.51
174,5.0,0.38,0.72,38600.0,0,1,0,0,0.72
175,9.0,0.38,0.787,75000.0,0,1,0,0,0.787
176,9.0,0.35,1.05,30000.0,0,1,0,0,1.05
177,4.0,0.35,0.57,24000.0,0,1,1,0,0.57
178,6.0,0.35,0.52,19000.0,0,1,1,0,0.52
179,10.0,0.31,1.05,99708.75,0,1,0,0,1.05
180,8.0,0.3,0.51,60000.0,0,1,0,0,0.51
181,4.0,0.3,0.48,50000.0,0,1,0,0,0.48
182,7.0,0.3,0.58,30000.0,0,1,0,0,0.58
183,7.0,0.27,0.47,21000.0,0,1,0,0,0.47
184,12.0,0.25,0.75,26000.0,0,1,0,1,0.75
185,12.0,0.25,0.58,1900.0,0,1,1,0,0.58
186,10.0,0.25,0.52,22000.0,0,1,1,0,0.52
187,7.0,0.25,0.51,32000.0,0,1,0,0,0.51
188,7.0,0.25,0.57,18000.0,0,1,0,0,0.57
189,14.0,0.2,0.57,55000.0,0,1,0,0,0.57
190,12.0,0.2,0.75,60000.0,0,1,0,0,0.75
191,8.0,0.2,0.57,25000.0,0,1,0,1,0.57
192,13.0,0.2,0.75,49000.0,0,1,0,1,0.75
193,7.0,0.2,0.65,24000.0,0,1,0,1,0.65
194,12.0,0.2,0.787,50000.0,0,1,0,0,0.787
195,5.0,0.18,0.32,35000.0,0,1,0,0,0.32
196,12.0,0.17,0.52,99708.75,0,1,1,0,0.52
197,10.0,0.16,0.51,33000.0,0,1,0,0,0.51
198,9.0,0.15,0.57,35000.0,0,1,0,1,0.57
199,13.0,0.12,0.58,53000.0,0,1,0,0,0.58
200,14.0,0.1,0.75,92233.0,0,1,0,0,0.75
201,10.0,3.25,6.79,58000.0,1,0,0,1,6.79
202,5.0,4.4,5.7,28200.0,0,0,0,0,5.7
203,9.0,2.95,4.6,53460.0,0,0,0,0,4.6
204,5.0,2.75,4.43,28282.0,0,0,0,0,4.43
205,4.0,5.25,5.7,3493.0,0,0,0,1,5.7
206,3.0,5.75,7.13,12479.0,0,0,0,0,7.13
207,5.0,5.15,5.7,34797.0,0,0,1,0,5.7
208,3.0,7.9,8.1,3435.0,0,0,0,0,8.1
209,5.0,4.85,5.7,21125.0,1,0,0,0,5.7
210,8.0,3.1,4.6,35775.0,0,0,0,0,4.6
211,5.0,11.75,14.79,43535.0,1,0,0,0,14.79
212,4.0,11.25,13.6,22671.0,0,0,0,0,13.6
213,9.0,2.9,6.79,31604.0,0,0,0,0,6.79
214,3.0,5.25,5.7,20114.0,0,0,0,0,5.7
215,8.0,4.5,9.4,36100.0,0,0,0,0,9.4
216,4.0,2.9,4.43,12500.0,0,0,0,0,4.43
217,4.0,3.15,4.43,15000.0,0,0,0,0,4.43
218,6.0,6.45,9.4,45078.0,0,0,0,0,9.4
219,8.0,4.5,9.4,36000.0,0,0,0,0,9.4
220,3.0,3.5,4.43,38488.0,0,0,0,0,4.43
221,7.0,4.5,6.79,32000.0,0,0,1,0,6.79
222,6.0,6.0,7.6,77632.0,1,0,0,0,7.6
223,5.0,8.25,9.4,61381.0,1,0,0,0,9.4
224,7.0,5.11,9.4,36198.0,0,0,1,0,9.4
225,9.0,2.7,4.6,22517.0,0,0,0,0,4.6
226,5.0,5.25,5.7,24678.0,0,0,0,0,5.7
227,9.0,2.55,4.43,57000.0,0,0,0,0,4.43
228,8.0,4.95,9.4,60000.0,1,0,0,0,9.4
229,8.0,3.1,6.79,52132.0,1,0,0,0,6.79
230,7.0,6.15,9.4,45000.0,1,0,0,0,9.4
231,3.0,9.25,9.4,15001.0,0,0,0,0,9.4
232,5.0,11.45,14.79,12900.0,0,0,1,0,14.79
233,7.0,3.9,5.7,53000.0,1,0,0,0,5.7
234,5.0,5.5,5.7,4492.0,0,0,0,0,5.7
235,3.0,9.1,9.4,15141.0,0,0,0,0,9.4
236,4.0,3.1,4.43,11849.0,0,0,0,0,4.43
237,5.0,11.25,13.6,68000.0,1,0,0,0,13.6
238,7.0,4.8,9.4,60241.0,0,0,0,0,9.4
239,8.0,2.0,4.43,23709.0,0,0,0,0,4.43
240,8.0,5.35,9.4,32322.0,1,0,0,0,9.4
241,5.0,4.75,7.13,35866.0,0,0,0,1,7.13
242,6.0,4.4,7.13,34000.0,0,0,0,0,7.13
243,4.0,6.25,7.6,7000.0,0,0,0,0,7.6
244,7.0,5.95,9.4,49000.0,1,0,0,0,9.4
245,8.0,5.2,9.4,71000.0,1,0,0,0,9.4
246,8.0,3.75,6.79,35000.0,0,0,0,0,6.79
247,5.0,5.95,9.4,36000.0,0,0,0,0,9.4
248,7.0,4.0,4.6,30000.0,0,0,0,0,4.6
249,4.0,5.25,7.6,17000.0,0,0,0,0,7.6
250,4.0,12.9,13.6,35934.0,1,0,0,0,13.6
251,7.0,5.0,9.9,56701.0,0,0,0,0,9.9
252,5.0,5.4,6.82,31427.0,0,0,1,0,6.82
253,6.0,7.2,9.9,48000.0,1,0,0,0,9.9
254,7.0,5.25,9.9,54242.0,0,0,0,0,9.9
255,8.0,3.0,5.35,53675.0,0,0,0,0,5.35
256,4.0,10.25,13.6,49562.0,0,0,0,0,13.6
257,5.0,8.5,13.6,40324.0,0,0,0,0,13.6
258,5.0,8.4,13.6,25000.0,0,0,0,0,13.6
259,6.0,3.9,7.0,36054.0,0,0,0,0,7.0
260,4.0,9.15,13.6,29223.0,0,0,0,0,13.6
261,4.0,5.5,5.97,5600.0,0,0,0,0,5.97
262,5.0,4.0,5.8,40023.0,0,0,0,0,5.8
263,4.0,6.6,7.7,16002.0,0,0,0,0,7.7
264,5.0,4.0,7.0,40026.0,0,0,0,0,7.0
265,3.0,6.5,8.7,21200.0,0,0,0,0,8.7
266,6.0,3.65,7.0,35000.0,0,0,0,0,7.0
267,4.0,8.35,9.4,19434.0,1,0,0,0,9.4
268,3.0,4.8,5.8,19000.0,0,0,0,0,5.8
269,5.0,6.7,10.0,18828.0,0,0,0,0,10.0
270,9.0,4.1,10.0,69341.0,0,0,0,0,10.0
271,11.0,3.0,10.0,69562.0,0,0,0,0,10.0
272,5.0,7.5,10.0,27600.0,0,0,0,0,10.0
273,10.0,2.25,7.5,61203.0,0,0,0,0,7.5
274,6.0,5.3,6.8,16500.0,0,0,0,0,6.8
275,4.0,10.9,13.6,30753.0,0,0,1,0,13.6
276,5.0,8.65,13.6,24800.0,0,0,0,0,13.6
277,5.0,9.7,13.6,21780.0,0,0,0,0,13.6
278,4.0,6.0,8.4,4000.0,0,0,0,0,8.4
279,6.0,6.25,13.6,40126.0,0,0,0,0,13.6
280,5.0,5.25,5.9,14465.0,0,0,0,0,5.9
281,14.0,2.1,7.6,50456.0,0,0,0,0,7.6
282,6.0,8.25,14.0,63000.0,1,0,0,0,14.0
283,4.0,8.99,11.8,9010.0,0,0,0,0,11.8
284,7.0,3.5,5.9,9800.0,0,0,0,0,5.9
285,4.0,7.4,8.5,15059.0,0,0,1,0,8.5
286,4.0,5.65,7.9,28569.0,0,0,0,0,7.9
287,5.0,5.75,7.5,44000.0,0,0,1,0,7.5
288,5.0,8.4,13.6,34000.0,0,0,0,0,13.6
289,4.0,10.11,13.6,10980.0,0,0,0,0,13.6
290,6.0,4.5,6.4,19000.0,0,0,0,0,6.4
291,5.0,5.4,6.1,31427.0,0,0,0,0,6.1
292,4.0,6.4,8.4,12000.0,0,0,0,0,8.4
293,10.0,3.25,9.9,38000.0,0,0,0,0,9.9
294,6.0,3.75,6.8,33019.0,0,0,0,0,6.8
295,5.0,8.55,13.09,60076.0,1,0,0,0,13.09
296,4.0,9.5,11.6,33988.0,1,0,0,0,11.6
297,5.0,4.0,5.9,60000.0,0,0,0,0,5.9
298,11.0,3.35,11.0,87934.0,0,0,0,0,11.0
299,3.0,11.5,12.5,9000.0,1,0,0,0,12.5
300,4.0,5.3,5.9,5464.0,0,0,0,0,5.9
